model,similarity_metrics,k,RMSE
KNNBasic,cosine,10,0.9953611121476768
KNNBasic,cosine,20,0.9832861560871874
KNNBasic,cosine,40,0.978382590448254
KNNBasic,pearson,10,0.9968983667052758
KNNBasic,pearson,20,0.9870800454623551
KNNBasic,pearson,40,0.9853645968238225
KNNMeans,cosine,10,0.9210667524138006
KNNMeans,cosine,20,0.9111674259345675
KNNMeans,cosine,40,0.9090611050198052
KNNMeans,pearson,10,0.9203331761065104
KNNMeans,pearson,20,0.9100261035734175
KNNMeans,pearson,40,0.9100981112782827
KNNBaseline,cosine,10,0.8951565820106685
KNNBaseline,cosine,20,0.8881551072028951
KNNBaseline,cosine,40,0.8856858973794516
KNNBaseline,pearson,10,0.899678872941417
KNNBaseline,pearson,20,0.8898088849334201
KNNBaseline,pearson,40,0.8894272925392827
SVD,-,-,0.8773558442626149
